Year	Count	Cause	Size	
2001	11	Recreation and ceremony	E	
2001	5	Recreation and ceremony	F	
2001	3	Recreation and ceremony	G	
2001	4404	Missing data/not specified/undetermined	A	
2001	5292	Missing data/not specified/undetermined	B	
2001	839	Missing data/not specified/undetermined	C	
2001	108	Missing data/not specified/undetermined	D	
2001	55	Missing data/not specified/undetermined	E	
2001	41	Missing data/not specified/undetermined	F	
2001	14	Missing data/not specified/undetermined	G	
2001	2676	Equipment and vehicle use	A	
2001	3435	Equipment and vehicle use	B	
2001	667	Equipment and vehicle use	C	
2001	101	Equipment and vehicle use	D	
2001	58	Equipment and vehicle use	E	
2001	34	Equipment and vehicle use	F	
2001	3	Equipment and vehicle use	G	
2001	263	Power generation/transmission/distribution	A	
2001	232	Power generation/transmission/distribution	B	
2001	35	Power generation/transmission/distribution	C	
2001	11	Power generation/transmission/distribution	D	
2001	6	Power generation/transmission/distribution	E	
2001	2	Power generation/transmission/distribution	F	
2001	2	Power generation/transmission/distribution	G	
2001	1544	Misuse of fire by a minor	A	
2001	1805	Misuse of fire by a minor	B	
2001	174	Misuse of fire by a minor	C	
2001	13	Misuse of fire by a minor	D	
2001	6	Misuse of fire by a minor	E	
2001	1	Misuse of fire by a minor	F	
2001	0	Misuse of fire by a minor	G	
2001	263	Fireworks	A	
2001	238	Fireworks	B	
2001	39	Fireworks	C	
2001	21	Fireworks	D	
2001	15	Fireworks	E	
2001	9	Fireworks	F	
2001	0	Fireworks	G	
2001	665	Railroad operations and maintenance	A	
2001	1368	Railroad operations and maintenance	B	
2001	275	Railroad operations and maintenance	C	
2001	30	Railroad operations and maintenance	D	
2001	22	Railroad operations and maintenance	E	
2001	10	Railroad operations and maintenance	F	
2001	4	Railroad operations and maintenance	G	
2001	6	Firearms and explosives use	A	
2001	25	Firearms and explosives use	B	
2001	9	Firearms and explosives use	C	
2001	5	Firearms and explosives use	D	
2001	2	Firearms and explosives use	E	
2001	3	Firearms and explosives use	F	
2001	0	Firearms and explosives use	G	
2001	1430	Smoking	A	
2001	1817	Smoking	B	
2001	218	Smoking	C	
2001	9	Smoking	D	
2001	9	Smoking	E	
2001	2	Smoking	F	
2001	2	Smoking	G	
2002	2883	Arson/incendiarism	A	
2002	7230	Arson/incendiarism	B	
2002	2638	Arson/incendiarism	C	
2002	268	Arson/incendiarism	D	
2002	74	Arson/incendiarism	E	
2002	23	Arson/incendiarism	F	
2002	9	Arson/incendiarism	G	
2002	4480	Debris and open burning	A	
2002	12505	Debris and open burning	B	
2002	2546	Debris and open burning	C	
2002	210	Debris and open burning	D	
2002	58	Debris and open burning	E	
2002	15	Debris and open burning	F	
2002	7	Debris and open burning	G	
2002	207	Other causes	A	
2002	103	Other causes	B	
2002	16	Other causes	C	
2002	0	Other causes	D	
2002	0	Other causes	E	
2002	0	Other causes	F	
2002	0	Other causes	G	
2002	2032	Recreation and ceremony	A	
2002	1150	Recreation and ceremony	B	
2002	237	Recreation and ceremony	C	
2002	33	Recreation and ceremony	D	
2002	14	Recreation and ceremony	E	
2002	9	Recreation and ceremony	F	
2002	5	Recreation and ceremony	G	
2002	4728	Missing data/not specified/undetermined	A	
2002	5047	Missing data/not specified/undetermined	B	
2002	662	Missing data/not specified/undetermined	C	
2002	104	Missing data/not specified/undetermined	D	
2002	54	Missing data/not specified/undetermined	E	
2002	30	Missing data/not specified/undetermined	F	
2002	18	Missing data/not specified/undetermined	G	
2002	2327	Equipment and vehicle use	A	
2002	2691	Equipment and vehicle use	B	
2002	557	Equipment and vehicle use	C	
2002	86	Equipment and vehicle use	D	
2002	39	Equipment and vehicle use	E	
2002	23	Equipment and vehicle use	F	
2002	8	Equipment and vehicle use	G	
2002	307	Power generation/transmission/distribution	A	
2002	206	Power generation/transmission/distribution	B	
2002	38	Power generation/transmission/distribution	C	
2002	10	Power generation/transmission/distribution	D	
2002	4	Power generation/transmission/distribution	E	
2002	8	Power generation/transmission/distribution	F	
2002	1	Power generation/transmission/distribution	G	
2002	1160	Misuse of fire by a minor	A	
2002	1565	Misuse of fire by a minor	B	
2002	153	Misuse of fire by a minor	C	
2002	10	Misuse of fire by a minor	D	
2002	4	Misuse of fire by a minor	E	
2002	5	Misuse of fire by a minor	F	
2002	2	Misuse of fire by a minor	G	
2002	269	Fireworks	A	
2002	216	Fireworks	B	
2002	35	Fireworks	C	
2002	6	Fireworks	D	
2002	3	Fireworks	E	
2002	1	Fireworks	F	
2002	1	Fireworks	G	
2002	538	Railroad operations and maintenance	A	
2002	1166	Railroad operations and maintenance	B	
2002	206	Railroad operations and maintenance	C	
2002	23	Railroad operations and maintenance	D	
2002	10	Railroad operations and maintenance	E	
2002	4	Railroad operations and maintenance	F	
2002	0	Railroad operations and maintenance	G	
2002	9	Firearms and explosives use	A	
2002	9	Firearms and explosives use	B	
2002	3	Firearms and explosives use	C	
2002	2	Firearms and explosives use	D	
2002	3	Firearms and explosives use	E	
2002	0	Firearms and explosives use	F	
2002	0	Firearms and explosives use	G	
2002	1194	Smoking	A	
2002	1191	Smoking	B	
2002	200	Smoking	C	
2002	11	Smoking	D	
2002	8	Smoking	E	
2002	4	Smoking	F	
2002	1	Smoking	G	
2003	2504	Arson/incendiarism	A	
2003	5210	Arson/incendiarism	B	
2003	1915	Arson/incendiarism	C	
2003	191	Arson/incendiarism	D	
2003	78	Arson/incendiarism	E	
2003	25	Arson/incendiarism	F	
2003	8	Arson/incendiarism	G	
2003	3432	Debris and open burning	A	
2003	7710	Debris and open burning	B	
2003	1462	Debris and open burning	C	
2003	118	Debris and open burning	D	
2003	46	Debris and open burning	E	
2003	20	Debris and open burning	F	
2003	8	Debris and open burning	G	
2003	171	Other causes	A	
2003	75	Other causes	B	
2003	10	Other causes	C	
2003	1	Other causes	D	
2003	2	Other causes	E	
2003	0	Other causes	F	
2003	0	Other causes	G	
2003	1890	Recreation and ceremony	A	
2003	767	Recreation and ceremony	B	
2003	114	Recreation and ceremony	C	
2003	18	Recreation and ceremony	D	
2003	11	Recreation and ceremony	E	
2003	11	Recreation and ceremony	F	
2003	7	Recreation and ceremony	G	
2003	4455	Missing data/not specified/undetermined	A	
2003	4849	Missing data/not specified/undetermined	B	
2003	644	Missing data/not specified/undetermined	C	
2003	112	Missing data/not specified/undetermined	D	
2003	64	Missing data/not specified/undetermined	E	
2003	45	Missing data/not specified/undetermined	F	
2003	8	Missing data/not specified/undetermined	G	
2003	2543	Equipment and vehicle use	A	
2003	2594	Equipment and vehicle use	B	
2003	497	Equipment and vehicle use	C	
2003	80	Equipment and vehicle use	D	
2003	36	Equipment and vehicle use	E	
2003	16	Equipment and vehicle use	F	
2003	7	Equipment and vehicle use	G	
2003	221	Power generation/transmission/distribution	A	
2003	197	Power generation/transmission/distribution	B	
2003	35	Power generation/transmission/distribution	C	
2003	11	Power generation/transmission/distribution	D	
2003	7	Power generation/transmission/distribution	E	
2003	7	Power generation/transmission/distribution	F	
2003	0	Power generation/transmission/distribution	G	
2003	1009	Misuse of fire by a minor	A	
2003	1091	Misuse of fire by a minor	B	
2003	68	Misuse of fire by a minor	C	
2003	5	Misuse of fire by a minor	D	
2003	5	Misuse of fire by a minor	E	
2003	3	Misuse of fire by a minor	F	
2003	0	Misuse of fire by a minor	G	
2003	426	Fireworks	A	
2003	217	Fireworks	B	
2003	26	Fireworks	C	
2003	5	Fireworks	D	
2003	6	Fireworks	E	
2003	6	Fireworks	F	
2003	0	Fireworks	G	
2003	226	Railroad operations and maintenance	A	
2003	333	Railroad operations and maintenance	B	
2003	46	Railroad operations and maintenance	C	
2003	12	Railroad operations and maintenance	D	
2003	2	Railroad operations and maintenance	E	
2003	0	Railroad operations and maintenance	F	
2003	0	Railroad operations and maintenance	G	
2003	7	Firearms and explosives use	A	
2003	9	Firearms and explosives use	B	
2003	6	Firearms and explosives use	C	
2003	3	Firearms and explosives use	D	
2003	2	Firearms and explosives use	E	
2003	3	Firearms and explosives use	F	
2003	0	Firearms and explosives use	G	
2003	839	Smoking	A	
2003	634	Smoking	B	
2003	64	Smoking	C	
2003	10	Smoking	D	
2003	4	Smoking	E	
2003	3	Smoking	F	
2003	0	Smoking	G	
2004	2428	Arson/incendiarism	A	
2004	5999	Arson/incendiarism	B	
2004	2631	Arson/incendiarism	C	
2004	223	Arson/incendiarism	D	
2004	75	Arson/incendiarism	E	
2004	17	Arson/incendiarism	F	
2004	6	Arson/incendiarism	G	
2004	4285	Debris and open burning	A	
2004	10616	Debris and open burning	B	
2004	2186	Debris and open burning	C	
2004	142	Debris and open burning	D	
2004	44	Debris and open burning	E	
2004	12	Debris and open burning	F	
2004	5	Debris and open burning	G	
2004	198	Other causes	A	
2004	74	Other causes	B	
2004	15	Other causes	C	
2004	4	Other causes	D	
2004	2	Other causes	E	
2004	0	Other causes	F	
2004	0	Other causes	G	
2004	1695	Recreation and ceremony	A	
2004	684	Recreation and ceremony	B	
2004	101	Recreation and ceremony	C	
2004	12	Recreation and ceremony	D	
2004	4	Recreation and ceremony	E	
2004	6	Recreation and ceremony	F	
2004	4	Recreation and ceremony	G	
2004	4535	Missing data/not specified/undetermined	A	
2004	4403	Missing data/not specified/undetermined	B	
2004	703	Missing data/not specified/undetermined	C	
2004	95	Missing data/not specified/undetermined	D	
2004	47	Missing data/not specified/undetermined	E	
2004	24	Missing data/not specified/undetermined	F	
2004	7	Missing data/not specified/undetermined	G	
2004	2500	Equipment and vehicle use	A	
2004	2651	Equipment and vehicle use	B	
2004	487	Equipment and vehicle use	C	
2004	38	Equipment and vehicle use	D	
2004	26	Equipment and vehicle use	E	
2004	11	Equipment and vehicle use	F	
2004	8	Equipment and vehicle use	G	
2004	220	Power generation/transmission/distribution	A	
2004	209	Power generation/transmission/distribution	B	
2004	33	Power generation/transmission/distribution	C	
2004	5	Power generation/transmission/distribution	D	
2004	3	Power generation/transmission/distribution	E	
2004	3	Power generation/transmission/distribution	F	
2004	2	Power generation/transmission/distribution	G	
2004	902	Misuse of fire by a minor	A	
2004	1037	Misuse of fire by a minor	B	
2004	94	Misuse of fire by a minor	C	
2004	2	Misuse of fire by a minor	D	
2004	1	Misuse of fire by a minor	E	
2004	1	Misuse of fire by a minor	F	
2004	2	Misuse of fire by a minor	G	
2004	347	Fireworks	A	
2004	191	Fireworks	B	
2004	18	Fireworks	C	
2004	5	Fireworks	D	
2004	2	Fireworks	E	
2004	1	Fireworks	F	
2004	0	Fireworks	G	
2004	308	Railroad operations and maintenance	A	
2004	388	Railroad operations and maintenance	B	
2004	58	Railroad operations and maintenance	C	
2004	5	Railroad operations and maintenance	D	
2004	2	Railroad operations and maintenance	E	
2004	1	Railroad operations and maintenance	F	
2004	0	Railroad operations and maintenance	G	
2004	11	Firearms and explosives use	A	
2004	13	Firearms and explosives use	B	
2004	9	Firearms and explosives use	C	
2004	2	Firearms and explosives use	D	
2004	0	Firearms and explosives use	E	
2004	3	Firearms and explosives use	F	
2004	0	Firearms and explosives use	G	
2004	800	Smoking	A	
2004	749	Smoking	B	
2004	88	Smoking	C	
2004	7	Smoking	D	
2004	3	Smoking	E	
2004	0	Smoking	F	
2004	1	Smoking	G	
2005	3296	Arson/incendiarism	A	
2005	8308	Arson/incendiarism	B	
2005	3290	Arson/incendiarism	C	
2005	324	Arson/incendiarism	D	
2005	106	Arson/incendiarism	E	
2005	40	Arson/incendiarism	F	
2005	7	Arson/incendiarism	G	
2005	4122	Debris and open burning	A	
2005	12861	Debris and open burning	B	
2005	2668	Debris and open burning	C	
2005	228	Debris and open burning	D	
2005	77	Debris and open burning	E	
2005	21	Debris and open burning	F	
2005	7	Debris and open burning	G	
2005	183	Other causes	A	
2005	121	Other causes	B	
2005	10	Other causes	C	
2005	3	Other causes	D	
2005	0	Other causes	E	
2005	3	Other causes	F	
2005	1	Other causes	G	
2005	1881	Recreation and ceremony	A	
2005	1623	Recreation and ceremony	B	
2005	326	Recreation and ceremony	C	
2005	27	Recreation and ceremony	D	
2005	15	Recreation and ceremony	E	
2005	5	Recreation and ceremony	F	
2005	5	Recreation and ceremony	G	
2005	6954	Missing data/not specified/undetermined	A	
2005	7320	Missing data/not specified/undetermined	B	
2005	1328	Missing data/not specified/undetermined	C	
2005	223	Missing data/not specified/undetermined	D	
2005	127	Missing data/not specified/undetermined	E	
2005	79	Missing data/not specified/undetermined	F	
2005	17	Missing data/not specified/undetermined	G	
2005	2899	Equipment and vehicle use	A	
2005	3856	Equipment and vehicle use	B	
2005	817	Equipment and vehicle use	C	
2005	142	Equipment and vehicle use	D	
2005	62	Equipment and vehicle use	E	
2005	30	Equipment and vehicle use	F	
2005	9	Equipment and vehicle use	G	
2005	287	Power generation/transmission/distribution	A	
2005	286	Power generation/transmission/distribution	B	
2005	55	Power generation/transmission/distribution	C	
2005	15	Power generation/transmission/distribution	D	
2005	3	Power generation/transmission/distribution	E	
2005	3	Power generation/transmission/distribution	F	
2005	3	Power generation/transmission/distribution	G	
2005	1146	Misuse of fire by a minor	A	
2005	1443	Misuse of fire by a minor	B	
2005	125	Misuse of fire by a minor	C	
2005	7	Misuse of fire by a minor	D	
2005	4	Misuse of fire by a minor	E	
2005	1	Misuse of fire by a minor	F	
2005	0	Misuse of fire by a minor	G	
2005	362	Fireworks	A	
2005	278	Fireworks	B	
2005	56	Fireworks	C	
2005	11	Fireworks	D	
2005	9	Fireworks	E	
2005	3	Fireworks	F	
2005	0	Fireworks	G	
2005	349	Railroad operations and maintenance	A	
2005	419	Railroad operations and maintenance	B	
2005	80	Railroad operations and maintenance	C	
2005	12	Railroad operations and maintenance	D	
2005	6	Railroad operations and maintenance	E	
2005	2	Railroad operations and maintenance	F	
2005	1	Railroad operations and maintenance	G	
2005	8	Firearms and explosives use	A	
2005	21	Firearms and explosives use	B	
2005	12	Firearms and explosives use	C	
2005	2	Firearms and explosives use	D	
2005	2	Firearms and explosives use	E	
2005	2	Firearms and explosives use	F	
2005	3	Firearms and explosives use	G	
2005	1071	Smoking	A	
2005	1055	Smoking	B	
2005	157	Smoking	C	
2005	13	Smoking	D	
2005	7	Smoking	E	
2005	3	Smoking	F	
2005	2	Smoking	G	
2006	3960	Arson/incendiarism	A	
2006	10611	Arson/incendiarism	B	
2006	4505	Arson/incendiarism	C	
2006	527	Arson/incendiarism	D	
2006	169	Arson/incendiarism	E	
2006	44	Arson/incendiarism	F	
2006	9	Arson/incendiarism	G	
2006	5125	Debris and open burning	A	
2006	17816	Debris and open burning	B	
2006	3825	Debris and open burning	C	
2006	278	Debris and open burning	D	
2006	79	Debris and open burning	E	
2006	20	Debris and open burning	F	
2006	4	Debris and open burning	G	
2006	227	Other causes	A	
2006	105	Other causes	B	
2006	9	Other causes	C	
2006	2	Other causes	D	
2006	1	Other causes	E	
2006	0	Other causes	F	
2006	0	Other causes	G	
2006	1769	Recreation and ceremony	A	
2006	1039	Recreation and ceremony	B	
2006	162	Recreation and ceremony	C	
2006	27	Recreation and ceremony	D	
2006	11	Recreation and ceremony	E	
2006	5	Recreation and ceremony	F	
2006	6	Recreation and ceremony	G	
2006	6842	Missing data/not specified/undetermined	A	
2006	11303	Missing data/not specified/undetermined	B	
2006	2476	Missing data/not specified/undetermined	C	
2006	476	Missing data/not specified/undetermined	D	
2006	247	Missing data/not specified/undetermined	E	
2006	124	Missing data/not specified/undetermined	F	
2006	39	Missing data/not specified/undetermined	G	
2006	3312	Equipment and vehicle use	A	
2006	5175	Equipment and vehicle use	B	
2006	1337	Equipment and vehicle use	C	
2006	214	Equipment and vehicle use	D	
2006	103	Equipment and vehicle use	E	
2006	53	Equipment and vehicle use	F	
2006	18	Equipment and vehicle use	G	
2006	321	Power generation/transmission/distribution	A	
2006	347	Power generation/transmission/distribution	B	
2006	102	Power generation/transmission/distribution	C	
2006	19	Power generation/transmission/distribution	D	
2006	11	Power generation/transmission/distribution	E	
2006	16	Power generation/transmission/distribution	F	
2006	4	Power generation/transmission/distribution	G	
2006	1550	Misuse of fire by a minor	A	
2006	1720	Misuse of fire by a minor	B	
2006	141	Misuse of fire by a minor	C	
2006	10	Misuse of fire by a minor	D	
2006	9	Misuse of fire by a minor	E	
2006	3	Misuse of fire by a minor	F	
2006	1	Misuse of fire by a minor	G	
2006	763	Fireworks	A	
2006	396	Fireworks	B	
2006	44	Fireworks	C	
2006	7	Fireworks	D	
2006	4	Fireworks	E	
2006	1	Fireworks	F	
2006	0	Fireworks	G	
2006	284	Railroad operations and maintenance	A	
2006	560	Railroad operations and maintenance	B	
2006	166	Railroad operations and maintenance	C	
2006	15	Railroad operations and maintenance	D	
2006	11	Railroad operations and maintenance	E	
2006	4	Railroad operations and maintenance	F	
2006	0	Railroad operations and maintenance	G	
2006	19	Firearms and explosives use	A	
2006	41	Firearms and explosives use	B	
2006	16	Firearms and explosives use	C	
2006	5	Firearms and explosives use	D	
2006	5	Firearms and explosives use	E	
2006	5	Firearms and explosives use	F	
2006	0	Firearms and explosives use	G	
2006	1252	Smoking	A	
2006	1565	Smoking	B	
2006	228	Smoking	C	
2006	23	Smoking	D	
2006	15	Smoking	E	
2006	6	Smoking	F	
2006	1	Smoking	G	
2007	3545	Arson/incendiarism	A	
2007	7183	Arson/incendiarism	B	
2007	2605	Arson/incendiarism	C	
2007	315	Arson/incendiarism	D	
2007	105	Arson/incendiarism	E	
2007	29	Arson/incendiarism	F	
2007	9	Arson/incendiarism	G	
2007	4299	Debris and open burning	A	
2007	12627	Debris and open burning	B	
2007	2847	Debris and open burning	C	
2007	255	Debris and open burning	D	
2007	76	Debris and open burning	E	
2007	30	Debris and open burning	F	
2007	5	Debris and open burning	G	
2007	157	Other causes	A	
2007	139	Other causes	B	
2007	18	Other causes	C	
2007	1	Other causes	D	
2007	1	Other causes	E	
2007	0	Other causes	F	
2007	2	Other causes	G	
2007	2095	Recreation and ceremony	A	
2007	1311	Recreation and ceremony	B	
2007	263	Recreation and ceremony	C	
2007	40	Recreation and ceremony	D	
2007	13	Recreation and ceremony	E	
2007	12	Recreation and ceremony	F	
2007	5	Recreation and ceremony	G	
2007	7463	Missing data/not specified/undetermined	A	
2007	8380	Missing data/not specified/undetermined	B	
2007	1231	Missing data/not specified/undetermined	C	
2007	243	Missing data/not specified/undetermined	D	
2007	119	Missing data/not specified/undetermined	E	
2007	51	Missing data/not specified/undetermined	F	
2007	18	Missing data/not specified/undetermined	G	
2007	2799	Equipment and vehicle use	A	
2007	3797	Equipment and vehicle use	B	
2007	800	Equipment and vehicle use	C	
2007	109	Equipment and vehicle use	D	
2007	54	Equipment and vehicle use	E	
2007	30	Equipment and vehicle use	F	
2007	12	Equipment and vehicle use	G	
2007	420	Power generation/transmission/distribution	A	
2007	473	Power generation/transmission/distribution	B	
2007	113	Power generation/transmission/distribution	C	
2007	23	Power generation/transmission/distribution	D	
2007	11	Power generation/transmission/distribution	E	
2007	6	Power generation/transmission/distribution	F	
2007	5	Power generation/transmission/distribution	G	
2007	1375	Misuse of fire by a minor	A	
2007	1276	Misuse of fire by a minor	B	
2007	92	Misuse of fire by a minor	C	
2007	10	Misuse of fire by a minor	D	
2007	5	Misuse of fire by a minor	E	
2007	3	Misuse of fire by a minor	F	
2007	1	Misuse of fire by a minor	G	
2007	580	Fireworks	A	
2007	319	Fireworks	B	
2007	33	Fireworks	C	
2007	6	Fireworks	D	
2007	6	Fireworks	E	
2007	3	Fireworks	F	
2007	3	Fireworks	G	
2007	296	Railroad operations and maintenance	A	
2007	504	Railroad operations and maintenance	B	
2007	114	Railroad operations and maintenance	C	
2007	20	Railroad operations and maintenance	D	
2007	5	Railroad operations and maintenance	E	
2007	2	Railroad operations and maintenance	F	
2007	0	Railroad operations and maintenance	G	
2007	26	Firearms and explosives use	A	
2007	78	Firearms and explosives use	B	
2007	35	Firearms and explosives use	C	
2007	7	Firearms and explosives use	D	
2007	6	Firearms and explosives use	E	
2007	5	Firearms and explosives use	F	
2007	2	Firearms and explosives use	G	
2007	1181	Smoking	A	
2007	1027	Smoking	B	
2007	118	Smoking	C	
2007	12	Smoking	D	
2007	6	Smoking	E	
2007	2	Smoking	F	
2007	0	Smoking	G	
2008	2820	Arson/incendiarism	A	
2008	5036	Arson/incendiarism	B	
2008	1475	Arson/incendiarism	C	
2008	207	Arson/incendiarism	D	
2008	82	Arson/incendiarism	E	
2008	29	Arson/incendiarism	F	
2008	6	Arson/incendiarism	G	
2008	4148	Debris and open burning	A	
2008	12474	Debris and open burning	B	
2008	2815	Debris and open burning	C	
2008	323	Debris and open burning	D	
2008	134	Debris and open burning	E	
2008	43	Debris and open burning	F	
2008	9	Debris and open burning	G	
2008	191	Other causes	A	
2008	104	Other causes	B	
2008	11	Other causes	C	
2008	3	Other causes	D	
2008	0	Other causes	E	
2008	1	Other causes	F	
2008	0	Other causes	G	
2008	2096	Recreation and ceremony	A	
2008	1111	Recreation and ceremony	B	
2008	245	Recreation and ceremony	C	
2008	31	Recreation and ceremony	D	
2008	13	Recreation and ceremony	E	
2008	8	Recreation and ceremony	F	
2008	6	Recreation and ceremony	G	
2008	7035	Missing data/not specified/undetermined	A	
2008	10635	Missing data/not specified/undetermined	B	
2008	2081	Missing data/not specified/undetermined	C	
2008	479	Missing data/not specified/undetermined	D	
2008	264	Missing data/not specified/undetermined	E	
2008	142	Missing data/not specified/undetermined	F	
2008	44	Missing data/not specified/undetermined	G	
2008	2245	Equipment and vehicle use	A	
2008	4071	Equipment and vehicle use	B	
2008	1132	Equipment and vehicle use	C	
2008	213	Equipment and vehicle use	D	
2008	103	Equipment and vehicle use	E	
2008	50	Equipment and vehicle use	F	
2008	6	Equipment and vehicle use	G	
2008	342	Power generation/transmission/distribution	A	
2008	384	Power generation/transmission/distribution	B	
2008	91	Power generation/transmission/distribution	C	
2008	17	Power generation/transmission/distribution	D	
2008	11	Power generation/transmission/distribution	E	
2008	7	Power generation/transmission/distribution	F	
2008	4	Power generation/transmission/distribution	G	
2008	1056	Misuse of fire by a minor	A	
2008	1220	Misuse of fire by a minor	B	
2008	75	Misuse of fire by a minor	C	
2008	8	Misuse of fire by a minor	D	
2008	6	Misuse of fire by a minor	E	
2008	0	Misuse of fire by a minor	F	
2008	0	Misuse of fire by a minor	G	
2008	315	Fireworks	A	
2008	226	Fireworks	B	
2008	24	Fireworks	C	
2008	8	Fireworks	D	
2008	2	Fireworks	E	
2008	0	Fireworks	F	
2008	0	Fireworks	G	
2008	262	Railroad operations and maintenance	A	
2008	428	Railroad operations and maintenance	B	
2008	92	Railroad operations and maintenance	C	
2008	9	Railroad operations and maintenance	D	
2008	7	Railroad operations and maintenance	E	
2008	5	Railroad operations and maintenance	F	
2008	1	Railroad operations and maintenance	G	
2008	29	Firearms and explosives use	A	
2008	16	Firearms and explosives use	B	
2008	11	Firearms and explosives use	C	
2008	0	Firearms and explosives use	D	
2008	2	Firearms and explosives use	E	
2008	1	Firearms and explosives use	F	
2008	0	Firearms and explosives use	G	
2008	1042	Smoking	A	
2008	929	Smoking	B	
2008	113	Smoking	C	
2008	20	Smoking	D	
2008	6	Smoking	E	
2008	2	Smoking	F	
2008	1	Smoking	G	
2009	2489	Arson/incendiarism	A	
2009	4664	Arson/incendiarism	B	
2009	1714	Arson/incendiarism	C	
2009	196	Arson/incendiarism	D	
2009	80	Arson/incendiarism	E	
2009	30	Arson/incendiarism	F	
2009	4	Arson/incendiarism	G	
2009	4316	Debris and open burning	A	
2009	11856	Debris and open burning	B	
2009	2525	Debris and open burning	C	
2009	276	Debris and open burning	D	
2009	126	Debris and open burning	E	
2009	33	Debris and open burning	F	
2009	6	Debris and open burning	G	
2009	189	Other causes	A	
2009	137	Other causes	B	
2009	19	Other causes	C	
2009	1	Other causes	D	
2009	1	Other causes	E	
2009	0	Other causes	F	
2009	0	Other causes	G	
2009	2061	Recreation and ceremony	A	
2009	1065	Recreation and ceremony	B	
2009	252	Recreation and ceremony	C	
2009	28	Recreation and ceremony	D	
2009	9	Recreation and ceremony	E	
2009	6	Recreation and ceremony	F	
2009	2	Recreation and ceremony	G	
2009	6406	Missing data/not specified/undetermined	A	
2009	8093	Missing data/not specified/undetermined	B	
2009	1275	Missing data/not specified/undetermined	C	
2009	300	Missing data/not specified/undetermined	D	
2009	153	Missing data/not specified/undetermined	E	
2009	78	Missing data/not specified/undetermined	F	
2009	18	Missing data/not specified/undetermined	G	
2009	2242	Equipment and vehicle use	A	
2009	3293	Equipment and vehicle use	B	
2009	800	Equipment and vehicle use	C	
2009	114	Equipment and vehicle use	D	
2009	60	Equipment and vehicle use	E	
2009	26	Equipment and vehicle use	F	
2009	4	Equipment and vehicle use	G	
2009	550	Power generation/transmission/distribution	A	
2009	748	Power generation/transmission/distribution	B	
2009	225	Power generation/transmission/distribution	C	
2009	56	Power generation/transmission/distribution	D	
2009	22	Power generation/transmission/distribution	E	
2009	18	Power generation/transmission/distribution	F	
2009	6	Power generation/transmission/distribution	G	
2009	953	Misuse of fire by a minor	A	
2009	985	Misuse of fire by a minor	B	
2009	84	Misuse of fire by a minor	C	
2009	7	Misuse of fire by a minor	D	
2009	5	Misuse of fire by a minor	E	
2009	0	Misuse of fire by a minor	F	
2009	1	Misuse of fire by a minor	G	
2009	411	Fireworks	A	
2009	249	Fireworks	B	
2009	45	Fireworks	C	
2009	9	Fireworks	D	
2009	7	Fireworks	E	
2009	2	Fireworks	F	
2009	0	Fireworks	G	
2009	294	Railroad operations and maintenance	A	
2009	826	Railroad operations and maintenance	B	
2009	225	Railroad operations and maintenance	C	
2009	24	Railroad operations and maintenance	D	
2009	6	Railroad operations and maintenance	E	
2009	2	Railroad operations and maintenance	F	
2009	0	Railroad operations and maintenance	G	
2009	55	Firearms and explosives use	A	
2009	45	Firearms and explosives use	B	
2009	9	Firearms and explosives use	C	
2009	0	Firearms and explosives use	D	
2009	0	Firearms and explosives use	E	
2009	2	Firearms and explosives use	F	
2009	1	Firearms and explosives use	G	
2009	875	Smoking	A	
2009	884	Smoking	B	
2009	92	Smoking	C	
2009	14	Smoking	D	
2009	5	Smoking	E	
2009	1	Smoking	F	
2009	0	Smoking	G	
2010	2883	Arson/incendiarism	A	
2010	5314	Arson/incendiarism	B	
2010	1828	Arson/incendiarism	C	
2010	225	Arson/incendiarism	D	
2010	81	Arson/incendiarism	E	
2010	24	Arson/incendiarism	F	
2010	1	Arson/incendiarism	G	
2010	4968	Debris and open burning	A	
2010	12762	Debris and open burning	B	
2010	2630	Debris and open burning	C	
2010	262	Debris and open burning	D	
2010	98	Debris and open burning	E	
2010	16	Debris and open burning	F	
2010	4	Debris and open burning	G	
2010	272	Other causes	A	
2010	174	Other causes	B	
2010	22	Other causes	C	
2010	1	Other causes	D	
2010	0	Other causes	E	
2010	0	Other causes	F	
2010	1	Other causes	G	
2010	2156	Recreation and ceremony	A	
2010	1322	Recreation and ceremony	B	
2010	235	Recreation and ceremony	C	
2010	32	Recreation and ceremony	D	
2010	14	Recreation and ceremony	E	
2010	8	Recreation and ceremony	F	
2010	2	Recreation and ceremony	G	
2010	8189	Missing data/not specified/undetermined	A	
2010	7435	Missing data/not specified/undetermined	B	
2010	1362	Missing data/not specified/undetermined	C	
2010	239	Missing data/not specified/undetermined	D	
2010	112	Missing data/not specified/undetermined	E	
2010	43	Missing data/not specified/undetermined	F	
2010	15	Missing data/not specified/undetermined	G	
2010	2060	Equipment and vehicle use	A	
2010	3210	Equipment and vehicle use	B	
2010	782	Equipment and vehicle use	C	
2010	90	Equipment and vehicle use	D	
2010	53	Equipment and vehicle use	E	
2010	18	Equipment and vehicle use	F	
2010	6	Equipment and vehicle use	G	
2010	736	Power generation/transmission/distribution	A	
2010	863	Power generation/transmission/distribution	B	
2010	213	Power generation/transmission/distribution	C	
2010	38	Power generation/transmission/distribution	D	
2010	16	Power generation/transmission/distribution	E	
2010	7	Power generation/transmission/distribution	F	
